id,title,genres,popularity,rating,description
67,Basilisk: Kouga Ninpou Chou,"['Action', 'Drama', 'Romance']",1294,7.53,"For centuries, the Iga and Kouga ninja clans have engaged in a bitter war. But when a ceasefire is ordered by the powerful warlord Ieyasu Tokugawa, the two clans are forced to put down their arms.

Years later, Gennosuke Kouga, heir of the Kouga clan, and Oboro Iga, heir of the Iga clan, have fallen in love. Through marriage, both heirs aim to bring peace to the clans. But their hopes are dashed when flames of rivalry between their clans are reignited, and they are dragged into another war.

Ieyasu's two grandsons have both claimed to be the next heir to the shogunate. To resolve this dispute, both the Kouga and Iga are ordered to send their 10 best warriors to fight in a bloody battle royale, with each clan representing one of the potential shogunate heirs. Two scrolls with the names of the fighters are given and are to be marked in blood upon the given fighter's death. The prize for winning is the favor of the Tokugawa shogunate for a thousand years. Torn between their love for each other and duty to their clans, Gennosuke and Oboro must ultimately decide the fate of their clans.

[Written by MAL Rewrite]"
68,Black Cat,"['Action', 'Adventure', 'Sci-Fi']",923,7.32,"Completing every job with ruthless accuracy, Train Heartnet is an infamous assassin with no regard for human life. Donning the moniker ""Black Cat"" in the underground world, the elite killer works for the powerful secret organization known only as Chronos.

One gloomy night, the blasé gunman stumbles upon Saya Minatsuki, an enigmatic bounty hunter, and soon develops an odd friendship with her. Influenced by Saya's positive outlook on life, Train begins to rethink his life. Deciding to abandon his role as the Black Cat, he instead opts to head down a virtuous path as an honest bounty hunter. However, Chronos—and particularly Creed Diskenth, Train's possessive underling—is not impressed with Train's sudden change of heart and vows to resort to extreme measures in order to bring back the emissary of bad luck.

This assassin turned ""stray cat"" can only wander so far before the deafening sound of gunfire rings out.

[Written by MAL Rewrite]"
69,Cluster Edge,"['Action', 'Fantasy', 'Sci-Fi']",6277,6.31,"Cluster Edge Academy isn't just any school; it's THE school, where the offspring of the elite come together to prepare for their roles running a world where artificial soldiers and religious sects are major factors in the battle for total control. Which may be part of why new transfer student Agate Fluorite doesn't quite seem to fit in. It's not just that Agate's enthusiastic attitude stands out among the somber, brooding balance of the student body. There's something about him that demands notice, even from jaded honors students like Beryl Jasper, and from the moment of arrival he's been at the center of a series of mysteries that not even Agate understands. Because Agate's not just another student, he's part of a something so momentous, and dangerous, that the world that built Cluster Edge may not survive its passing. 

(Source: Sentai Filmworks)"
71,Full Metal Panic!,"['Action', 'Comedy', 'Sci-Fi']",457,7.59,"Mithril, a covert military institution using state-of-the-art technology to combat terrorist operations, assigns a specialized team to a sensitive mission. Under the command of superior officer Melissa Mao, sergeants Sousuke Sagara and Kurz Weber must secretly protect Kaname Chidori—a teenage girl who unconsciously holds breakthrough scientific knowledge and is considered a ""Whispered""—from intelligence agencies and other organizations pursuing her abilities.

While Kurz and Melissa are to assist him remotely, Sousuke enrolls at Kaname's high school as one of her classmates to closely monitor her. However, his militaristic upbringing and poor social skills lead to a difficult adjustment to civilian life. Not only does he attract unnecessary attention, but his actions frequently make Kaname suspicious of him.

Despite the earnest attempts to fulfill his duty, a terrorist ambush further complicates Sousuke's task. Recognizing the vicious mastermind behind the assault, Sousuke abandons his orders to ensure Kaname's safety.

[Written by MAL Rewrite]"
72,Full Metal Panic? Fumoffu,"['Action', 'Comedy']",852,8.02,"Sergeant Sousuke Sagara returns to Jindai High School to protect the precious war asset, Kaname Chidori, from any threat. However, his lack of social skills and real-life experience result in comical yet dangerous situations, endangering the peaceful school life Kaname longs for. As Sousuke continues to bring a wide range of weapons to school as a means to solve threats—real or fake—Kaname struggles to fulfill her duty as the student council vice president all while keeping him in check. 

To ensure a successful mission, Sousuke is occasionally forced to use the costume of a famous amusement park mascot called Bonta-kun. With his technical expertise, he eventually transforms the exuberant uniform into a cutting-edge exoskeleton that has only one dysfunction: the voice translator can only produce the sound ""mofu."" 

Full Metal Panic? Fumoffu depicts the adventures of Kaname and Sousuke as they try to live their normal school lives despite the chaos they inadvertently cause. 

[Written by MAL Rewrite]"
73,Full Metal Panic! The Second Raid,['Action'],958,7.91,"After overcoming various tumultuous events, mercenary sergeant Sousuke Sagara of Mithril and ""Whispered"" school girl Kaname Chidori return to their normal high school lives. Sousuke continues his efforts to assimilate with the civilian population and manage his mission at the same time, while Kaname attempts to support his endeavors (even though his antics often drive her up a wall). 

However, as their lives calm, new problems begin to appear. The appearance of an independent terrorist organization  known as Amalgam and internal conflicts within Mithril threaten to wreak unity into a series of failures and betrayals. And new, powerful Arm Slave models only worsen the situation when the world's peace is at stake. 

As Kaname and Sousuke face their own inner battles amidst life-threatening fights, will they be able to make the right choices and change their future?

[Written by MAL Rewrite]"
74,Gakuen Alice,['Comedy'],2141,7.64,"Mikan Sakura is a normal 10-year-old girl. Optimistic, energetic, and overall a very sweet child, Mikan is the complete opposite of the aloof, intelligent, and somewhat cold-hearted, Hotaru Imai. Despite their glaring differences, the two girls have been best friends for a very long time. So when Hotaru suddenly transfers to Alice Academy, a prestigious school in the city, her best friend is devastated—especially when she hears of the horrible rumors regarding the academy's harsh treatment of students. Beset with worry, Mikan runs away to see her best friend!

Upon her arrival, Mikan learns of ""Alices,"" individuals gifted with various supernatural abilities, and that the school is an institution built by the government to train and protect them. Discovering that she has her own unique powers, Mikan enrolls in the academy, and, after a lot of trouble, finally reunites with Hotaru.

Gakuen Alice is a heartwarming comedy that follows Mikan and her friends' adventures in the academy, as well as their attempt to uncover the mysteries surrounding the problematic, fire-wielding student Natsume Hyuuga.

[Written by MAL Rewrite]"
75,Soukyuu no Fafner: Dead Aggressor,"['Action', 'Drama', 'Sci-Fi']",3255,7.25,"Tatsumiyajima is the central island in the middle of a small cluster of islands, in a sleepy backwater of the Japanese isles. Not much happens there, and the island's young people go to school knowing that their lives are likely to remain peaceful and undisturbed. Or so they have been taught... but the truth is different. The fate of mankind is on the line, and Tatsumiyajima is the last line of defense against a hostile and incomprehensible enemy. At the center of it all, fighting for Humanity's continued existence, is the giant robot Fafner, the dragon that guards this final treasure of mankind.

(Source: ANN)"
76,Mahou Shoujo Lyrical Nanoha,"['Action', 'Comedy', 'Drama']",2089,7.41,"Nanoha Takamachi, an ordinary third-grader who enjoys spending time with her family and friends, rescues an injured ferret that she had dreamed about the night before. The next day, the ferret cries out to her telepathically, asking Nanoha to save him. The ferret reveals himself to be Yuuno Scrya, a mage from another world who is trying to collect the dangerous 21 Jewel Seeds that he accidentally scattered across the world. He enlists Nanoha's help, gifting her the magical wand Raising Heart, and teaches her how to become a powerful mage.

Days later, after reclaiming a few of the Jewel Seeds, another mage appears: Fate Testarossa. Stronger than Nanoha, Fate refuses to divulge her reasons in trying to collect the Jewel Seeds. Nanoha senses a melancholy in her eyes, but Fate refuses to communicate. Directed by Akiyuki Shinbo, Mahou Shoujo Lyrical Nanoha is a story about the clash of emotions when goals collide.

[Written by MAL Rewrite]"
77,Mahou Shoujo Lyrical Nanoha A's,"['Action', 'Comedy', 'Drama']",2792,7.96,"After solving the incident of the scattered Jewel Seeds, Nanoha Takamachi happily returns to her everyday life, though now with added magic practice in the morning. Exchanging video messages with Fate Testarossa and the crew of the Arthra, Nanoha eagerly awaits the chance to speak with them in person again. But while studying in her room one day, Raising Heart suddenly calls out to Nanoha and warns her of an incoming attack!

The attacker is a young girl named Vita, who calls herself a Belka Knight. She proves her strength by using an intelligent device with a mysterious cartridge system to quickly overwhelm Nanoha. Luckily, the Space-Time Administration Bureau is able to step in before she is completely crushed. Vita and her fellow knights Shamal, Signum, and Zafila are on a mission to steal magical power from mages in order to complete the Book of Darkness, one of the Lost Logia. For what sinister purpose are the knights after this Book of Darkness?

[Written by MAL Rewrite]"
79,Shuffle!,"['Comedy', 'Fantasy', 'Romance', 'Ecchi']",902,7.01,"In present times, Gods and Demons coexist together with Humans after the door between each of these worlds had opened. Tsuchimi Rin is a normal young high school student attending Verbena Academy, spending his days living peacefully with his childhood friend Kaede. Unexpectedly, one day the King of Gods, the King of Demons and their families move into be Rin's next door neighbors. Apparently the daughter of the Gods, Sia, and the daughter of the demons, Nerine, are both deeply in love with Rin after having met him in the past. Along with his playful friendship with upperclassmen Asa and his encounter with the silent but cute Primula, Rin has much on his hands dealing with the affections of each of these girls. Based on the eroge by Navel."
80,Kidou Senshi Gundam,"['Action', 'Drama', 'Sci-Fi']",1716,7.75,"It is year 0079 of the Universal Century. Mankind has moved to space, living in colony clusters known as ""Sides."" One of these Sides declares itself the ""Principality of Zeon"" and declares war on the Earth Federation, the governmental body currently ruling Earth. Using powerful humanoid robots known as ""mobile suits,"" Zeon quickly gains the upper hand.

Nine months into the conflict, the Earth Federation has developed its own powerful mobile suit called the Gundam. When Zeon launches an attack on the colony holding the Gundam, a 15-year-old civilian named Amuro Ray suddenly finds himself thrown into a conflict that will take him all across Earth and space, pitting him against the enemy's ace pilot, Char Aznable.

[Written by MAL Rewrite]"
81,Kidou Senshi Gundam: Dai 08 MS Shoutai,"['Action', 'Adventure', 'Drama', 'Romance', 'Sci-Fi']",2359,8.0,"In year 0079 of the Universal Century, the Earth Federation initiates Operation Odessa—a full-scale assault to retake a major Ukrainian city from the Principality of Zeon. It is a success, and the remaining Zeon forces scatter across the globe. The Earth Federation gains the upper hand in the One Year War and deploys its ground troops around the planet to hunt down the stragglers.
 
As part of the deployments, Ensign Shiro Amada is transferred to Southeast Asia to take command of the 08th MS Team—a special squadron of RX-79[G] Gundam Ground Type pilots. In their first guerilla operation, Shiro's team is tasked with distracting the Zeon forces while Federation ground troops locate a mysterious new Zeon weapon. Everything goes according to plan until Shiro runs into Aina Sahalin, an ace Zeon pilot he met in an earlier battle, during a skirmish. Their reunion weakens his resolve to continue fighting, and now the young commander Shiro must prove his loyalty to the Federation—or be branded a traitor.
 
[Written by MAL Rewrite]"
82,Kidou Senshi Gundam 0080: Pocket no Naka no Sensou,"['Action', 'Drama', 'Sci-Fi']",2869,7.98,"Alfred Izuruha is a 10-year-old who lives in the neutral colony cluster of Side 6 and, like most boys his age, is obsessed with the war between the Earth Federation and the Principality of Zeon. Unbeknownst to him, Al's next-door neighbor, Christina, is the test pilot of a prototype Gundam being developed in secret by the Earth Federation in the colony. A Zeon Special Forces team is assembled and tasked with infiltrating the colony in order to either steal or destroy it.

When a skirmish breaks out between the Federation and infiltrating Zeon forces, the fascinated Alfred stumbles upon a Zaku mobile suit that has been shot down, piloted by Zeon rookie Bernard ""Bernie"" Wiseman. After this encounter, the two start a mutual friendship, so Alfred can learn more about the war that interests him so much, and Bernie can acquire inside information about the colony to aid his team's mission.

[Written by MAL Rewrite]"
83,Kidou Senshi Gundam: Dai 08 MS Shoutai - Miller's Report,"['Drama', 'Romance', 'Sci-Fi']",5769,6.75,"Shortly after being rescued off the Himalayas, Federation Ensign Shiro Amada is accused of espionage due to his encounter with Zeon's top-secret mobile armor. Intelligence officer Alice Miller is assigned to investigate on Shiro's whereabouts during his disappearance. Her documented findings will determine whether or not Shiro is a traitor, and what his fate will be as commander of the 08th MS Team.

(Source: ANN)"
84,Kidou Senshi Gundam 0083: Stardust Memory,"['Action', 'Adventure', 'Drama', 'Romance', 'Sci-Fi']",3352,7.22,"It is the year 0083 of the Universal Century. The rebellious Principality of Zeon has been defeated in the One Year War by the Earth Federation. However, a faction of Zeon remnants led by Aguille Delaz fled from the final battle, hiding themselves away. After three long years, they attempt to rise up once more, sending Delaz's ace pilot, Anavel Gato, to infiltrate a Federation research base to steal one of two secretly developed prototype Gundams along with its deadly nuclear warhead.

Threatened by the rogue Gundam suit and seeking to retain peace, the Earth Federation mobilizes the newly developed Albion carrier to recover the stolen unit. Manned by the remaining test pilots, with rookie pilot Kou Uraki piloting the remaining prototype Gundam, the Albion and her crew are determined to stop Gato, retake the stolen Gundam, and prevent the Zeon remnants from starting another war.

[Written by MAL Rewrite]"
85,Kidou Senshi Zeta Gundam,"['Action', 'Drama', 'Romance', 'Sci-Fi']",2523,7.89,"It is Universal Century 0087, and the One Year War between the Earth Federation and Principality of Zeon is over. The Earth Federation has created an elite task force, known as the Titans, who are responsible for hunting the remaining Zeon forces. However, the power-hungry Titans have shown themselves to be no better than Zeon, spurring the creation of a rebellious faction called the Anti-Earth Union Group (AEUG).
 
17-year-old Kamille Bidan lives in the colony Green Noa, home to a Titan base. Kamille gets in trouble after assaulting a Titan officer, an event that coincides with an attack led by former Zeon ace Char Aznable, now known as AEUG pilot Quattro Bajeena. When Kamille steals a Titan's prototype Gundam, he soon finds himself in the middle of the dangerous conflict.

[Written by MAL Rewrite]"
86,Kidou Senshi Gundam ZZ,"['Action', 'Comedy', 'Drama', 'Sci-Fi']",3421,6.66,"In Universal Century 0088, the Anti-Earth Union Group (AEUG) has emerged victorious in its war with the Earth Federation's Titans at the cost of devastating losses. Neo-Zeon, the third faction in the war formerly known as Axis Zeon, remains as powerful as ever. Led by Newtype Haman Karn, Neo-Zeon has been implementing plans to take over both Earth and the space colonies.

The AEUG flagship Argama heads to the Side 1 colony Shangri-La for repairs. Living in the colony is Judau Ashta, a 14-year-old junk dealer who is struggling to make enough money to put his younger sister through school. Upon the discovery of an escape pod containing a former Titans pilot, Judau and his friends are quickly led to the Argama in hopes of stealing a mobile suit which they can sell for a fortune. However, with the arrival of a Neo-Zeon ship seeking to defeat the Argama, Judau and his friends are dragged into to a conflict that will bring them across space and Earth.

[Written by MAL Rewrite]"
87,Kidou Senshi Gundam: Gyakushuu no Char,"['Action', 'Drama', 'Sci-Fi']",3160,7.67,"The year is Universal Century 0093. Char Aznable has taken command of Neo Zeon, the rebels of outer space. He firmly believes that humankind can only achieve peace by relocating to space. Thus, he plans to crash the giant asteroid Axis into Earth and plunge the planet into an uninhabitable winter. Char also eagerly anticipates this opportunity to settle a 14-year rivalry with Amuro Ray. The two have been reluctant allies at times, but Char has never forgiven Amuro for causing the death of one of his comrades during the One Year War.

Only the Earth Federation's Londo Bell Unit has the power to stop Char from fulfilling his dangerous goal. Leading the defense of Earth is veteran captain Bright Noa and Amuro Ray with the latest Nu Gundam mobile suit. In this thrilling conclusion to the original Gundam series, Londo Bell engages in a final conflict with Neo Zeon that will decide the fate of Earth and end this long-standing rivalry—once and for all.

[Written by MAL Rewrite]"
88,Kidou Senshi Gundam F91,"['Action', 'Drama', 'Sci-Fi']",3960,6.6,"In the year 123 of the Universal Century, skirmishes between the Federation government and the rebel group Crossbones Vanguard echo across Earth's space colonies. One of these small battles breaks in the hometown of young Seabook Arno, forcing him and his friends to flee and ensnaring them in the political turmoil that is quickly evolving into an all-out war.

Seabook meets Cecily Fairchild, granddaughter of the aristocrat Meitzer Ronah, who seeks to create a new political power called ""Cosmo Babylonia."" Using the Crossbone Vanguard as its muscle, the Ronah family schemes to restore aristocratic rule and establish an economic system that will benefit the nobility, thus devastating the quality of life for the common people of the Earth Sphere.

Seabook is tasked with piloting the Gundam F91, a mobile suit created by his mother, and must choose between protecting the Federation's status quo or cooperating with Cecily to find a better way of life for all.

[Written by MAL Rewrite]"
89,Kidou Senshi Victory Gundam,"['Action', 'Drama', 'Sci-Fi']",4249,6.71,"In the year 153 of the Universal Century, the tyrannical Zanscare Empire has taken hostile control over Side 2, a space colony outside of Earth's orbit. Following in the footsteps of the long expired Principality of Zeon and the more recent Crossbone Vanguard, Zanscare rules over its subjects with cruelty, routinely using a large guillotine for public executions.

Living in Central Europe, space immigrant Üso Ewin joins the League Militaire, a militia made up of civilians frustrated with the Earth Federation's inability to combat the Zanscare Empire. Üso's latent abilities as a psychic Newtype awaken and allow him to pilot the Victory Gundam, the only mobile suit capable of holding off the elite BESPA forces of the Zanscare Empire.

Hoping to protect his best friend Shakti Kareen and locate his parents within the ranks of the Federation, Üso fights on with the Victory, striving to bring an end to the empire's reign.

[Written by MAL Rewrite]"
90,Shin Kidou Senki Gundam Wing,"['Action', 'Drama', 'Sci-Fi']",1502,7.67,"The United Earth Sphere Alliance is a powerful military organization that has ruled over Earth and space colonies with an iron fist for several decades. When the colonies proclaimed their opposition to this, their leader was assassinated. Now, in the year After Colony 195, bitter colonial rebels have launched ""Operation Meteor,"" sending five powerful mobile suits to Earth for vengeance. Built out of virtually indestructible material called Gundanium Alloy, these ""Gundams"" begin an assault against the Alliance and its sub organization OZ.

One Gundam, whose pilot has taken the name of the slain colony leader Heero Yuy, is forced to make a crash landing into the ocean after an atmospheric battle against OZ's ace pilot Zechs Marquise. Upon coming ashore, he is found by Relena Peacecraft, daughter of a peace-seeking politician, who witnesses Heero's descent to Earth. Although neither of them realize it yet, this encounter will have a profound impact on both their lives, as well as those on Earth and in space colonies.

[Written by MAL Rewrite]"
91,Shin Kidou Senki Gundam Wing: Endless Waltz,"['Action', 'Award Winning', 'Drama', 'Sci-Fi']",3273,7.73,"In the year After Colony 196, one year after the conclusion of the intergalactic civil war, a state of stasis prevails over the Earth and its colonies. Seeing no further use for their Gundam mobile suits, war heroes Duo Maxwell, Heero Yuy, Trowa Barton, and Quatre Raberba Winner decide to destroy these weapons by launching them into the sun's surface. 

Before the Gundam reach their destination, the universal peace is shattered by the emergence of Mariemaia Khushrenada—the only child of the former tyrannical aristocrat Treize. Mariemaia abducts diplomat Relena Peacecraft and announces plans to launch ""Operation Meteor,"" with the intention of posthumously fulfilling Treize's world domination plot.

With the help of former enemy Zechs Marquise and his mobile suit Tallgeese, the heroic pilots must reacquire their mobile suits to wage one final battle against the Khushrenada dynasty, including fighting against their former ally Wufei Chang, now aligning himself with Mariemaia's ambitions.

[Written by MAL Rewrite]"
92,Kidou Shinseiki Gundam X,"['Action', 'Adventure', 'Drama', 'Sci-Fi']",3793,7.33,"When one space colony declared its independence from the Earth Federation, the devastating 7th Space War, an all-out war between Earth and space, resulted. The Federation responded to the Space Revolutionary Army with mobile suits, called Gundams. However, the Space Revolutionary forces played their trump card and dropped hundreds of space colonies onto the Earth, plunging the planet into a seven-year-long nuclear winter. The Federation collapsed, but the Space Revolutionary Army was unable to invade the Earth in the aftermath of the colony drop.

Fifteen years have passed. The year is now After War 0015, and a New Federation has sprung up on Earth to restore order. In space, the colonial leaders have been rebuilding their own forces as well. By chance, fifteen-year-old Garrod Ran has discovered an old Federation mobile suit, the Gundam X, and now he uses it to help out the Vulture ship Freeden in its struggle to keep the powers that be from repeating the mistakes of the past."
93,Kidou Senshi Gundam SEED,"['Action', 'Award Winning', 'Drama', 'Romance', 'Sci-Fi']",1401,7.74,"In the year Cosmic Era 0071, the space colony Heliopolis remains neutral in the great war raging across the galaxy between Coordinators, human beings whose biological traits have been altered before birth, and Naturals, unaltered people who remain on the planet Earth. The Naturals' deep hatred of the Coordinators drove the advanced beings into space, seeking shelter in man-made colonies.

Kira Yamato is a Coordinator and university student on Heliopolis, when his life is thrown into disarray as ZAFT, the military organization composed of rebellious Coordinators, attacks the colony in an effort to steal a set of five state-of-the-art military mobile suits known as Gundams.

While ZAFT manages to make off with four of the mobile suits, Kira take control of the final Gundam, the Strike. Surviving the battle, Kira and his college friends join the crew of the Archangel, a ship run by the Earth Alliance, and the young soldiers experience the horrors of war and the loss that comes with it.

[Written by MAL Rewrite]"
94,Kidou Senshi Gundam SEED Destiny,"['Action', 'Drama', 'Romance', 'Sci-Fi']",2027,7.17,"In the year Cosmic Era 0071, a wartime brawl between two mobile suits results in the destruction of a neutral country. Shinn Asuka finds his entire family killed as casualties of the violence, and swears his life toward a vengeful pursuit of the Earth's Natural forces, under the impression they were the ones responsible for his family's death. Shinn works his way up through the ZAFT military forces, eventually gaining access to the cockpit of the prototype Impulse mobile suit.

Athrun Zala, a veteran of the recent war employed in the service of diplomat Cagalli Yula Athha, finds himself drawn into a new conflict between the Naturals and the Coordinators: human beings artificially enhanced before birth and hated by the Naturals for their biological advantages.

As the new war rears its head and violence becomes inevitable, Athrun finds himself as a mentor to the bitter Shinn. Athrun must steer the young pilot towards a mindset of mercy before his rage and desire for vengeance consumes him.

[Written by MAL Rewrite]"
95,Turn A Gundam,"['Action', 'Adventure', 'Award Winning', 'Drama', 'Romance', 'Sci-Fi']",3218,7.78,"It is the Correct Century, two millennia after a devastating conflict which left the world broken. Earth is now mostly uninhabitable, and thus a remnant of humanity has resided on the Moon while the Earth and its few survivors recover. For years, the ""Moonrace,"" the people of the Moon, have continued to check if Earth is fit for resettlement.

A boy named Loran Cehack and two others are sent down to Earth for a reconnaissance mission. Loran ends up spending a year on the planet working for the Heim Family, aristocrats living in a Victorian-like society. This family, like others of similar wealthy status, celebrates one's coming of age with a ceremony involving a giant stone statue known as the ""White Doll.""

To Loran's surprise, the Moonrace suddenly touches down on Earth with the intent of taking it by force. During the attack, the White Doll is broken apart, revealing a mobile suit called the ""Turn A Gundam"" inside. With Loran in its cockpit, the Turn A causes a standoff between the forces of Earth and Moon. The young pilot, along with the people of both sides, must keep the peace and avoid another all-out, catastrophic war.

[Written by MAL Rewrite]"
96,Kidou Butouden G Gundam,"['Action', 'Drama', 'Romance', 'Sci-Fi']",2676,7.58,"In the year Future Century 0060, the many countries that once comprised Earth's surface exist as separate colonies floating in space. Their home planet now uninhabitable, the ruler of all of the colonies is decided by their unanimous participation in the intergalactic Gundam Fight Tournament—a series of battles between the champions of each colony to determine who is most fit to reign over them all.

Neo-Japan's champion is Domon Kasshu, a man who accepts the role with some ulterior motives. Domon searches the galaxy for his brother, a criminal who allegedly murdered their mother and made off with the Devil Gundam, a highly advanced weapon with the power to unleash mass destruction across the galaxy. In his quest to bring his sibling to justice, Domon travels from colony to colony, meeting many of the fighters who will become his allies and enemies in the forthcoming Gundam Fight Tournament.

Armed with the strength of the Shining Gundam, Domon battles to uncover the truth behind his tortured childhood, suffering great betrayal and crushing blows on his quest toward personal and national triumph.

[Written by MAL Rewrite]"
97,Last Exile,"['Action', 'Adventure', 'Sci-Fi']",1390,7.78,"In the world of Prester, flight is the dominant mode of transportation, made possible by Claudia Fluid: a liquidized form of the crystals that are produced on the planet. An organization known solely as ""the Guild"" has absolute authority over the skies, with a monopoly on the engines that make use of this fluid. Moreover, as ecological disasters destabilize the warring countries of Anatoray and Disith, the Guild also arbitrates in the disputes between the two. Caught in the middle of the conflict are Sky Couriers, piloting small, two-person vanships that fly freely through the sky.

Last Exile follows the adventures of two teenagers who dream of surpassing their parents: Claus Valca, son of a famous vanship pilot, and Lavie Head, Claus' best friend and navigator. Their job as couriers entails passing through an air current called the Grand Stream that separates the hostile nations, which even standard airships struggle to survive. However, when they take on a high-rated delivery to bring an orphan girl named Alvis Hamilton to the battleship Silvana, they get dragged into a much greater conflict that pits them against the might of the Guild.

[Written by MAL Rewrite]"
98,Mai-HiME,"['Action', 'Fantasy', 'Girls Love']",1938,7.4,"While taking a ferry to Fuuka Academy, new students Mai Tokiha and her sickly younger brother, Takumi, spot a girl adrift on the water. Shortly after bringing her aboard, the ferry comes under attack from an assailant who summons a mechanical monster. Despite still recovering from her injuries, Mikoto Minagi fends off the monster using a supernatural sword.

Mai soon discovers that Mikoto is a fellow Fuuka Academy student with abilities called HiME (Highly-advanced Materializing Equipment). Female students with HiME are responsible for defending the academy and the local city from the monstrous ""Orphans."" After several incidents at the school involving battles against these mysterious creatures, Mai learns that she is a HiME herself and is capable of summoning a Child, a mechanical creature capable of great utility and firepower.

Now burdened with new responsibilities, Mai joins 12 other HiME as they safeguard the school from a threat they know little about all while protecting the ones closest to them.

[Written by MAL Rewrite]"
99,Mai-Otome,"['Comedy', 'Drama', 'Fantasy']",3175,7.27,"In the Kingdom of Windbloom, Arika Yumemiya enrolls at Garderobe Academy to become an Otome—a virgin girl who is able to use a HiME (Highly-advanced Materializing Equipment) that bestows destructive abilities. Arika also wishes to find her mother who was a Meister Otome, an Otome of the highest rank responsible for being the personal bodyguard and super weapon of the specific nation they are assigned to.

While attending the academy, Arika makes friends with Nina Wáng, a distinguished Otome student, and Mashiro Blan de Windbloom, the current princess of the kingdom. With them by her side, Arika quickly adjusts to the academy's environment as she spends her days eagerly training, navigating social relationships, and developing her skills as an Otome.

However, Arika soon realizes that the process of becoming an Otome is fraught with dangers and unsavory political dealings. Bombarded with numerous personal dilemmas, Arika must make many sacrifices if she truly wishes to achieve her goals.

[Written by MAL Rewrite]"
100,Shin Shirayuki-hime Densetsu Prétear,"['Drama', 'Romance']",2809,7.16,"Due to her father's remarriage, robust 16-year-old Himeno Awayuki moves into a large mansion with a beautiful garden—the quintessential dream house for any girl her age. However, much to Himeno's disappointment, her new stepfamily doesn't really seem to like her, as her stepmother often occupies herself with her father, her younger stepsister Mawata ignores her, and her other stepsister—the equally aged Mayune—tries to prank her at every opportunity.

But Himeno doesn't have time to dwell into thoughts of hopelessness—her new life has now become involved with a group of seven magical boys known as the Leafe Knights, after they ask her to become a magical princess who can borrow their powers! Although Himeno accepts their request and becomes the Prétear, she feels doubtful in her abilities to protect the world and its Leafe, the source of energy for all life. Will Himeno be able to find happiness among her new family and also save the Earth from the enemy, the Princess of Disaster?

[Written by MAL Rewrite]"
101,Air,"['Drama', 'Romance', 'Supernatural']",847,7.27,"Yukito Kunisaki is on a journey in search of the Winged Maiden who was bound to the sky centuries ago, after hearing an old childhood tale from his mother. As Yukito shows his puppet show to people in an attempt to make some money, he finds himself in a small town in which he did not expect to stay very long. However, when he meets an unusual girl named Misuzu, things take a drastic turn as he is invited to stay with her.

By staying in the quaint town, Yukito soon becomes friends with the locals. As he gets to know them better, he learns of their problems and decides to help, putting his search for the Winged Maiden on hold. With his search on hold, and his growing attachment to Misuzu and the small town, will Yukito ever find the Winged Maiden, or is she closer than he thought?

[Written by MAL Rewrite]"
102,Aishiteruze Baby★★,"['Comedy', 'Drama', 'Romance']",2105,7.43,"Katakura Kippei is in every way a high school playboy. Spending his days flirting with any girl he can see, responsibility is the last thing on his mind. Life takes an unexpected turn for him as one day he returns home to find himself with the full-time task of caring for his 5-year-old cousin. Kippei's aunt Miyako had disappeared, appearing to have abandoned his cousin, Yuzuyu. With Kippei's lack of responsibility and knowledge of childcare and Yuzuyu's injured heart with the disappearance of her mother, their time together is in for a bumpy ride."
103,Akazukin Chacha,"['Adventure', 'Comedy', 'Fantasy', 'Romance']",5397,7.41,"Chacha is a cheerful girl who spends most of her days practicing magic under her teacher Seravi, hoping to become as skilled as he is. Though Chacha is enthusiastic, her tendency to make unfortunate puns out of her magic chants leaves her teacher wondering if she is ready for magic school. Deciding that there is no better time, Seravi gifts Chacha the Princess Medallion, allowing her to transform into a magical princess capable of defeating even the fiercest opponents.

Together with her best friends Riiya, a werewolf boy, and Shiine, an apprentice of Seravi's old rival, Dorothy, Chacha sets out to defend the world from sinister forces. However, between the Great Evil Lord plotting against them, Riiya and Shiine's rivalry to win Chacha's affection, as well as Seravi and Dorothy's complicated relationship, Chacha struggles to find balance between fighting evil forces and mending relationships in her everyday life. Though obstacles continue to come her way, Chacha is determined to overcome any problem she faces with love, courage, and hope by her side.

[Written by MAL Rewrite]"
104,Ayashi no Ceres,"['Adventure', 'Drama', 'Horror', 'Romance', 'Supernatural']",2866,7.17,"Ceres was a tennyo (Celestial maiden) who came down from the heavens to bathe in a stream. She hung her hagoromo (robe) on a tree nearby, which was her key to returning to the heavens. But the robe was stolen and the man who had stolen it forced her to become his wife, thus producing a family full of human and tennyo blood mixed.

Now, in modern day time, Aya Mikage is a descendent of Ceres, and has quite an amount of tennyo blood. On her 16th birthday, she and her twin brother, Aki, are thrown a party. At the ""party,"" Aya's grandpa plans to kill her, for she has tennyo powers unlike the rest of the family, and can actually become Ceres herself and destroy the Mikage family. Aya, however, can switch back, so this transformation happens quite frequently.

With protector Yuuhi by her side, it is up to Aya to control Ceres and keep her from coming back, but her relationship with an ex-worker for her evil grandpa may be a distraction."
